source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Alan Stuart Franken,1,0.04020296643247463,2,Hillary Rodham Clinton,1951,40904,16,258,242,0,DEM,M,MN,01969,111
Amy Jean Klobuchar,1,0.04020296643247463,2,Hillary Rodham Clinton,1960,40700,53,392,339,0,DEM,F,MN,01826,111
Arlen Specter,0.6726567174784728,51.706944444444446,59,Robert P. Casey Jr.,1930,14910,114,420,306,24,DEM,M,PA,01437,111
Arlen Specter,1,0.04020296643247463,2,Hillary Rodham Clinton,1930,14910,114,420,306,24,DEM,M,PA,01437,111
Barbara A. Mikulski,0.3526155548589923,6.1713873428159145,23,Benjamin L. Cardin,1936,14440,14,252,238,18,DEM,F,MD,00802,111
Barbara A. Mikulski,1,0.04020296643247463,2,Hillary Rodham Clinton,1936,14440,14,252,238,18,DEM,F,MD,00802,111
Barbara Boxer,0.5570464734937167,19.41004313920523,39,Dianne Feinstein,1940,15011,57,427,370,12,DEM,F,CA,00116,111
Barbara Boxer,1,0.04020296643247463,2,Hillary Rodham Clinton,1940,15011,57,427,370,12,DEM,F,CA,00116,111
Ben E. Nelson,0.720439199138813,2.0844827586206898,4,Mike Johanns,1941,40103,17,150,133,6,DEM,M,NE,01627,111
Ben E. Nelson,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1941,40103,17,150,133,6,DEM,M,NE,01627,111
Benjamin L. Cardin,1,0.04020296643247463,2,Hillary Rodham Clinton,1943,15408,48,406,358,0,DEM,M,MD,00174,111
Benjamin L. Cardin,0.8398283416289926,3.461923611923612,11,Barbara A. Mikulski,1943,15408,48,406,358,0,DEM,M,MD,00174,111
Bernard Sanders,1,0.04020296643247463,2,Hillary Rodham Clinton,1941,29147,26,348,322,0,IND,M,VT,01010,111
Bill Nelson,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1942,14651,46,250,204,6,DEM,M,FL,00859,111
Bill Nelson,0.8046647230320699,2.090909090909091,5,Mel Martinez,1942,14651,46,250,204,6,DEM,M,FL,00859,111
Bill Nelson,0.26345587053121505,1,1,Pat Roberts,1942,14651,46,250,204,6,DEM,M,FL,00859,111
Blanche Lambert Lincoln,0.2703997394961439,1.0263568579850875,3,Pat Roberts,1960,29305,68,337,269,6,DEM,F,AR,01570,111
Blanche Lambert Lincoln,0.25263157894736843,1,1,Richard C. Shelby,1960,29305,68,337,269,6,DEM,F,AR,01570,111
Blanche Lambert Lincoln,0.2818057455540356,1.3733333333333333,3,Thad Cochran,1960,29305,68,337,269,6,DEM,F,AR,01570,111
Blanche Lambert Lincoln,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1960,29305,68,337,269,6,DEM,F,AR,01570,111
Bob Corker,0.8847560384043234,0.7176554382436735,5,Jim Bunning,1952,40705,8,140,132,0,REP,M,TN,01825,111
Bob Corker,0.9442881260551492,18.644444444444446,21,Lamar Alexander,1952,40705,8,140,132,0,REP,M,TN,01825,111
Byron L. Dorgan,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1942,14812,35,203,168,13,DEM,M,ND,00308,111
Carl Levin,0.328079084761412,5.79025974025974,18,Debbie Ann Stabenow,1934,14709,27,264,237,30,DEM,M,MI,01384,111
Carl Levin,1,0.04020296643247463,2,Hillary Rodham Clinton,1934,14709,27,264,237,30,DEM,M,MI,01384,111
Carte P. Goodwin,NA,NA,NA,NA,1974,40914,0,7,7,0,DEM,M,WV,01980,111
Charles E. Grassley,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1933,14226,24,208,184,24,REP,M,IA,00457,111
Charles E. Grassley,0.4313018521571947,1,1,Edward M. Kennedy,1933,14226,24,208,184,24,REP,M,IA,00457,111
Charles E. Schumer,0.32154291887964714,6.561145287461077,20,Kirsten E. Gillibrand,1950,14858,114,527,413,6,DEM,M,NY,01036,111
Charles E. Schumer,1,0.04020296643247463,2,Hillary Rodham Clinton,1950,14858,114,527,413,6,DEM,M,NY,01036,111
Chris Andrew Coons,NA,NA,NA,NA,1963,40916,0,14,14,0,DEM,M,DE,01984,111
Christopher J. Dodd,1,0.04020296643247463,2,Hillary Rodham Clinton,1944,14213,69,363,294,24,DEM,M,CT,00302,111
Christopher J. Dodd,0.515338876264282,15.572637874068871,22,Joseph I. Lieberman,1944,14213,69,363,294,24,DEM,M,CT,00302,111
Christopher S. Bond,0.28548691932756387,3.4166666666666665,5,Claire McCaskill,1939,15501,11,176,165,18,REP,M,MO,01286,111
Claire McCaskill,0.39634146341463417,1.8055555555555556,6,Christopher S. Bond,1953,40701,20,196,176,0,DEM,F,MO,01820,111
Claire McCaskill,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1953,40701,20,196,176,0,DEM,F,MO,01820,111
Claire McCaskill,0.4798312681254943,1.2037037037037037,3,Thomas A. Coburn,1953,40701,20,196,176,0,DEM,F,MO,01820,111
Daniel K. Inouye,0.3048780487804878,1.3888888888888888,3,Christopher S. Bond,1924,4812,32,224,192,42,DEM,M,HI,01369,111
Daniel K. Inouye,1,0.04020296643247463,2,Hillary Rodham Clinton,1924,4812,32,224,192,42,DEM,M,HI,01369,111
Daniel Kahikina Akaka,0.4673730072284384,9.535353535353535,13,Daniel K. Inouye,1924,14400,42,231,189,17,DEM,M,HI,00007,111
