"","V1","V2","V3","V4","V5"
"ests",4.6978230346196,2.01750198041944,-3.6228803355291,4.28698405650467,-7.14447989109789
"ests",4.68928963390865,1.95391842283481,-3.64554142501759,4.28975865629287,-8.53553734132405
"ests",4.67373586850608,1.95009476952535,-3.57145888351718,4.21852533174781,-7.2777706171379
"ests",4.77865217893647,1.97464933199561,-3.56661333278884,4.2470726856489,-6.25403437598429
"ests",4.77567469941148,1.97077568350017,-3.60749063019444,4.24903222101897,-8.48684417370638
"ests",4.70769821761388,2.01203730310035,-3.59694202826616,4.23000149658197,-7.43739593765089
"ests",4.60151674095895,1.95922896107912,-3.5446557629568,4.17257557902288,-6.39176975319719
"ests",4.67331380675001,1.93906351348292,-3.56940809725083,4.18555449446789,-7.59625437832887
"ests",4.72980406528386,1.95650956023785,-3.61656011547643,4.24780203066702,-11.637021806206
"ests",4.74225523186729,1.98750523677046,-3.58495018149319,4.19926048363466,-10.0532899902224
"ests",4.77728706831321,2.0008499179491,-3.63763778644895,4.31711593253407,-7.19133052850845
"ests",4.81112401523573,2.00333764704155,-3.64636254709303,4.31499547421946,-8.22743427680933
"ests",4.68226602719026,1.92583893148786,-3.54804338770721,4.18176705617621,-6.75873722884963
"ests",4.73514356167604,1.94601612342414,-3.58109512718134,4.21632605377645,-6.62206780353389
"ests",4.67885568212233,1.93335289535947,-3.60742222653955,4.25471929634036,-7.84910376639473
"ests",4.74470775172037,1.99141503708319,-3.57858080266248,4.24394359497761,-7.27101367848384
"ests",4.70062006136529,1.97667743680343,-3.60964563173121,4.24509831388183,-7.73945736533213
"ests",4.76562331779677,1.9409275277916,-3.55441482365553,4.14618014769018,-10.0443376201397
"ests",4.56766762179584,1.95980290779585,-3.5654699378274,4.15910228539017,-7.66187118371547
"ests",4.80580967742904,1.99109445247125,-3.62564450855107,4.24453228290463,-8.53172489085376
"ests",4.71281959383126,1.99898647299197,-3.59836835391273,4.2455987792233,-6.10587827942664
"ests",4.72712286241952,1.99822991780324,-3.61187166115192,4.25146894024401,-7.25314942506277
"ests",4.75668700981677,1.96297338523133,-3.58672222046373,4.24250526326515,-6.58195655025283
"ests",4.76439129140561,1.94807762301299,-3.59794766682907,4.24258093764607,-10.0765153981496
"ests",4.63550086652471,2.0065249330024,-3.57580546785992,4.22272421580703,-7.39736662497729
"ests",4.71588801380312,1.98641556715544,-3.57169416723419,4.19877542146429,-8.00662926665527
"ests",4.74203468005638,1.95309624919771,-3.55649315473792,4.18062730962186,-5.39633513518869
"ests",4.69404400872367,2.0041689182347,-3.59523358094716,4.26242200932666,-6.63158870459867
"ests",4.78429568579442,1.99721303382954,-3.59497553207396,4.26614178533325,-7.96620897644226
"ests",4.71879177901169,1.9907614036634,-3.5620811094271,4.19392932490047,-6.00968461517995
"ests",4.73926011533327,2.00933837781161,-3.64791069196443,4.33080670392067,-6.82319223126025
"ests",4.71543443580682,1.97240478843054,-3.61033123316107,4.26977019532391,-8.54403313328571
"ests",4.72126614420653,1.9788861051629,-3.58866865957315,4.18008369923944,-8.24742477904408
"ests",4.77102623389805,1.95887855968801,-3.60627348154707,4.27052558530989,-6.35509466495234
"ests",4.74973857550599,2.01109229232703,-3.61637663222964,4.27845386985722,-5.16476053745879
"ests",4.70059020084694,1.99319922256876,-3.58961300922255,4.25024417844505,-5.92517401640536
"ests",4.77094310336442,2.01158015822112,-3.64232250783251,4.29551822676104,-10.5555932812955
"ests",4.64700967872145,1.96917407913501,-3.53449347227786,4.15376531374664,-5.89089301725669
"ests",4.67203851757998,1.99112899595943,-3.59453501810108,4.23707702863917,-7.2028730952307
"ests",4.82373538407978,1.9991715444287,-3.59673664340442,4.26122940329379,-6.28960776908688
"ests",4.73393867857955,2.00229732773959,-3.61851825644534,4.26664738262875,-7.76419151711687
"ests",4.71328940057386,1.97889970725595,-3.59561343933105,4.22447238917977,-8.43014274090325
"ests",4.62721151457476,1.88353459221146,-3.49016452553284,4.09188168751427,-7.21157367036052
"ests",4.6087400201079,1.97002204773624,-3.56892924234029,4.19362039394427,-8.07807536400807
"ests",4.69064475444536,2.01104351685341,-3.62337456790881,4.25006063759274,-8.80962283716816
"ests",4.72215665480894,2.01096976708794,-3.60287348396343,4.22975333481166,-8.59126196332404
"ests",4.75560033956968,1.96156610491996,-3.5907742904834,4.2434537514979,-5.76108406881402
