"","V1","V2","V3","V4","V5"
"ests",5.17381620420689,2.03492047034957,-4.09249192809825,4.27661674820969,3.19819473313309
"ests",5.16432635477727,2.0453645475597,-4.11475959504039,4.29925464326744,3.17456311108222
"ests",5.24453013758177,2.04308707921913,-4.11084659736583,4.32070216524918,3.21365251153157
"ests",5.27183989138286,1.99127053024164,-4.12621206260242,4.30719688607615,3.23214321423108
"ests",5.30139373529682,2.04385240106349,-4.1940018983578,4.37832935029872,3.33213908064711
"ests",5.26261762361367,2.01962063124927,-4.14602649516881,4.33395519650376,3.20263275925391
"ests",5.19263663292914,1.99307970371289,-4.1267796275388,4.29019105748098,3.24566171936429
"ests",5.1958568785523,2.004211537849,-4.12461993742403,4.30402633994403,3.20642340060459
"ests",5.03685635373651,2.02864205772634,-4.06909228080018,4.21514530789761,3.17365271751292
"ests",5.28149210993999,2.04216915327047,-4.15655265677814,4.36072167657284,3.24717458869548
"ests",5.19070379837557,2.03104311228214,-4.09861900606027,4.26504145560722,3.22523472777312
"ests",5.2092945625371,2.05240350397413,-4.15541166737946,4.34864326079103,3.24442089345029
"ests",5.15248377421161,2.04635255394416,-4.1100178571626,4.29514373484157,3.22499578096951
"ests",5.10884031795972,2.05419506364656,-4.07449266148987,4.26268348720345,3.12455495394873
"ests",5.12729272559797,1.99513420622037,-4.07615215777134,4.24848601847787,3.18856332693725
"ests",5.20439719297388,2.02438897192728,-4.07001624567847,4.24225529959029,3.15727653157152
"ests",5.12134843587007,1.98415370966629,-4.12479526616105,4.27576645211911,3.26628111104459
"ests",5.23846197929679,1.99039319687428,-4.15774609767252,4.33460180605437,3.28499726971531
"ests",5.21246031950233,2.01727512840455,-4.1153593874124,4.29337615867667,3.2207231364168
"ests",5.295183913366,2.04981854911844,-4.15578652819001,4.34156247669351,3.30162052935339
"ests",5.29008493970387,2.0090564863054,-4.1301487597902,4.35303726996564,3.18363253274952
"ests",5.02169663539236,1.98052064559426,-4.01499870309536,4.17297347792851,3.07133388069355
"ests",5.18664948762519,2.06300956368518,-4.1448186537505,4.33880921896188,3.19789413226865
"ests",5.24067951618997,2.00014387776952,-4.107302203161,4.29380265434681,3.15164285341138
"ests",5.22581598071133,2.03367806566697,-4.13578595122963,4.34974738825242,3.20812979132051
"ests",5.13929498688494,2.00504761563624,-4.07333973341193,4.26155953884272,3.13776075458209
"ests",5.18697512773723,1.97486141916567,-4.1108058878691,4.26605693204998,3.23563979430411
"ests",5.26783925955448,2.04046790636608,-4.15228185193016,4.38434311153041,3.26040022809605
"ests",5.1112547758301,2.04398254365226,-4.11499859727976,4.2982833308678,3.27269819827917
