from,to,dep.var.id,wave,sim
2,NA,NA,1,1
4,5,1,1,1
5,2,1,1,1
5,4,1,1,1
6,8,1,1,1
6,12,1,1,1
7,10,1,1,1
8,6,1,1,1
10,7,1,1,1
10,11,1,1,1
11,10,1,1,1
12,6,1,1,1
12,13,1,1,1
13,12,1,1,1
16,5,1,1,1
3,5,1,2,1
5,3,1,2,1
6,5,1,2,1
6,9,1,2,1
6,13,1,2,1
8,9,1,2,1
9,8,1,2,1
10,14,1,2,1
11,10,1,2,1
11,14,1,2,1
13,6,1,2,1
14,10,1,2,1
14,11,1,2,1
1,10,1,1,2
2,3,1,1,2
3,2,1,1,2
3,5,1,1,2
3,15,1,1,2
4,NA,NA,1,2
5,2,1,1,2
5,3,1,1,2
6,7,1,1,2
6,12,1,1,2
7,10,1,1,2
8,13,1,1,2
10,1,1,1,2
10,7,1,1,2
10,11,1,1,2
11,10,1,1,2
12,2,1,1,2
12,6,1,1,2
13,8,1,1,2
14,2,1,1,2
15,4,1,1,2
1,14,1,2,2
3,8,1,2,2
6,8,1,2,2
7,14,1,2,2
8,6,1,2,2
8,9,1,2,2
9,NA,NA,2,2
10,11,1,2,2
11,10,1,2,2
12,13,1,2,2
13,12,1,2,2
14,11,1,2,2
4,12,1,1,3
5,9,1,1,3
6,13,1,1,3
6,15,1,1,3
7,10,1,1,3
8,9,1,1,3
9,8,1,1,3
10,7,1,1,3
11,NA,NA,1,3
12,4,1,1,3
12,6,1,1,3
12,13,1,1,3
13,6,1,1,3
13,12,1,1,3
14,11,1,1,3
15,6,1,1,3
2,10,1,2,3
3,4,1,2,3
4,3,1,2,3
5,9,1,2,3
8,9,1,2,3
9,5,1,2,3
9,8,1,2,3
9,16,1,2,3
10,2,1,2,3
10,14,1,2,3
12,13,1,2,3
13,12,1,2,3
13,16,1,2,3
14,10,1,2,3
16,9,1,2,3
1,12,1,1,4
2,13,1,1,4
3,11,1,1,4
4,5,1,1,4
5,4,1,1,4
5,9,1,1,4
6,12,1,1,4
7,10,1,1,4
8,9,1,1,4
9,5,1,1,4
9,8,1,1,4
10,7,1,1,4
11,3,1,1,4
12,6,1,1,4
12,13,1,1,4
13,NA,NA,1,4
3,5,1,2,4
3,7,1,2,4
5,3,1,2,4
6,5,1,2,4
6,8,1,2,4
6,13,1,2,4
7,15,1,2,4
8,6,1,2,4
9,16,1,2,4
10,11,1,2,4
10,14,1,2,4
