thomas,icpsr,first,middle,last,suffix,born,sex,mandate,start,end,party,state,district
01308,12102,Marlow,Webster,Cook,NA,1926,M,se,1968-12-17,1974-12-27,REP,KY,NA
01270,52,George,David,Aiken,NA,1892,M,se,1941-01-03,1945-01-03,REP,VT,NA
01270,52,George,David,Aiken,NA,1892,M,se,1945-01-03,1951-01-03,REP,VT,NA
01270,52,George,David,Aiken,NA,1892,M,se,1951-01-03,1957-01-03,REP,VT,NA
01270,52,George,David,Aiken,NA,1892,M,se,1957-01-03,1963-01-03,REP,VT,NA
01270,52,George,David,Aiken,NA,1892,M,se,1963-01-09,1969-01-03,REP,VT,NA
01270,52,George,David,Aiken,NA,1892,M,se,1969-01-03,1975-01-03,REP,VT,NA
01281,645,Wallace,Foster,Bennett,NA,1898,M,se,1951-01-03,1957-01-03,REP,UT,NA
01281,645,Wallace,Foster,Bennett,NA,1898,M,se,1957-01-03,1963-01-03,REP,UT,NA
01281,645,Wallace,Foster,Bennett,NA,1898,M,se,1963-01-09,1969-01-03,REP,UT,NA
01281,645,Wallace,Foster,Bennett,NA,1898,M,se,1969-01-03,1974-12-20,REP,UT,NA
01283,688,Alan,Harvey,Bible,NA,1909,M,se,1954-12-02,1957-01-03,DEM,NV,NA
01283,688,Alan,Harvey,Bible,NA,1909,M,se,1957-01-03,1963-01-03,DEM,NV,NA
01283,688,Alan,Harvey,Bible,NA,1909,M,se,1963-01-09,1969-01-03,DEM,NV,NA
01283,688,Alan,Harvey,Bible,NA,1909,M,se,1969-01-03,1974-12-17,DEM,NV,NA
01320,10514,Peter,Hoyt,Dominick,NA,1915,M,hr,1961-01-03,1963-01-03,REP,CO,2
01320,10514,Peter,Hoyt,Dominick,NA,1915,M,se,1963-01-09,1969-01-03,REP,CO,NA
01320,10514,Peter,Hoyt,Dominick,NA,1915,M,se,1969-01-03,1975-01-03,REP,CO,NA
01326,2987,Samuel,James,Ervin,Jr.,1896,M,hr,1945-01-03,1947-01-03,DEM,NC,10
01326,2987,Samuel,James,Ervin,Jr.,1896,M,se,1954-01-01,1957-01-03,DEM,NC,NA
01326,2987,Samuel,James,Ervin,Jr.,1896,M,se,1957-01-03,1963-01-03,DEM,NC,NA
01326,2987,Samuel,James,Ervin,Jr.,1896,M,se,1963-01-09,1969-01-03,DEM,NC,NA
01326,2987,Samuel,James,Ervin,Jr.,1896,M,se,1969-01-03,1975-01-03,DEM,NC,NA
01337,3388,James,William,Fulbright,NA,1905,M,hr,1943-01-06,1945-01-03,DEM,AR,3
01337,3388,James,William,Fulbright,NA,1905,M,se,1945-01-03,1951-01-03,DEM,AR,NA
01337,3388,James,William,Fulbright,NA,1905,M,se,1951-01-03,1957-01-03,DEM,AR,NA
01337,3388,James,William,Fulbright,NA,1905,M,se,1957-01-03,1963-01-03,DEM,AR,NA
01337,3388,James,William,Fulbright,NA,1905,M,se,1963-01-09,1969-01-03,DEM,AR,NA
01337,3388,James,William,Fulbright,NA,1905,M,se,1969-01-03,1975-01-03,DEM,AR,NA
01345,10593,Edward,John,Gurney,NA,1914,M,hr,1963-01-09,1965-01-03,REP,FL,11
01345,10593,Edward,John,Gurney,NA,1914,M,hr,1965-01-04,1967-01-03,REP,FL,11
