from,to,sim,plot_order,label
V1,V2,1,15,1
V10,NA,1,15,10
V11,NA,1,15,11
V12,V13,1,15,12
V13,V12,1,15,13
V14,V11,1,15,14
V15,NA,1,15,15
V16,V12,1,15,16
V2,V1,1,15,2
V3,NA,1,15,3
V4,V5,1,15,4
V5,V4,1,15,5
V6,NA,1,15,6
V7,NA,1,15,7
V8,NA,1,15,8
V9,NA,1,15,9
V1,NA,10,17,1
V10,V8,10,17,10
V11,V10,10,17,11
V12,V6,10,17,12
V12,V13,10,17,12
V13,NA,10,17,13
V14,V13,10,17,14
V15,NA,10,17,15
V16,NA,10,17,16
V2,V16,10,17,2
V3,NA,10,17,3
V4,NA,10,17,4
V5,NA,10,17,5
V6,V12,10,17,6
V7,NA,10,17,7
V8,V10,10,17,8
V9,NA,10,17,9
V1,V10,11,14,1
V10,V2,11,14,10
V10,V5,11,14,10
V10,V8,11,14,10
V10,V11,11,14,10
V10,V14,11,14,10
V11,V5,11,14,11
V11,V10,11,14,11
V11,V14,11,14,11
V12,V13,11,14,12
V13,V12,11,14,13
V14,V2,11,14,14
V14,V10,11,14,14
V14,V11,11,14,14
V15,NA,11,14,15
V16,NA,11,14,16
V2,NA,11,14,2
V3,V2,11,14,3
V3,V12,11,14,3
V4,NA,11,14,4
V5,V2,11,14,5
V5,V10,11,14,5
V5,V11,11,14,5
V6,NA,11,14,6
V7,NA,11,14,7
V8,V10,11,14,8
V9,NA,11,14,9
V1,V4,12,16,1
V10,V7,12,16,10
V10,V14,12,16,10
V11,V9,12,16,11
V11,V10,12,16,11
V12,V6,12,16,12
V12,V13,12,16,12
V13,V6,12,16,13
V13,V12,12,16,13
V14,V10,12,16,14
V15,V6,12,16,15
V16,NA,12,16,16
V2,V3,12,16,2
V2,V5,12,16,2
V3,V5,12,16,3
V3,V6,12,16,3
V4,V1,12,16,4
V5,V2,12,16,5
V5,V3,12,16,5
V6,V3,12,16,6
V6,V12,12,16,6
V7,V10,12,16,7
V7,V11,12,16,7
V8,V9,12,16,8
V9,V11,12,16,9
V1,NA,13,8,1
V10,V8,13,8,10
V10,V9,13,8,10
V10,V14,13,8,10
V11,NA,13,8,11
V12,V2,13,8,12
V12,V3,13,8,12
V12,V5,13,8,12
V12,V6,13,8,12
V12,V13,13,8,12
V13,V2,13,8,13
V13,V3,13,8,13
V13,V6,13,8,13
V13,V12,13,8,13
V14,V8,13,8,14
V14,V10,13,8,14
V15,NA,13,8,15
V16,NA,13,8,16
V2,V5,13,8,2
V2,V13,13,8,2
V3,V2,13,8,3
V3,V5,13,8,3
V3,V6,13,8,3
V3,V12,13,8,3
V4,NA,13,8,4
V5,V2,13,8,5
V5,V3,13,8,5
V5,V12,13,8,5
V6,V3,13,8,6
V6,V12,13,8,6
V6,V13,13,8,6
V7,NA,13,8,7
V8,V9,13,8,8
V8,V10,13,8,8
V9,V8,13,8,9
V9,V10,13,8,9
V1,V12,14,3,1
V10,V11,14,3,10
V10,V14,14,3,10
V10,V16,14,3,10
V11,V10,14,3,11
V11,V14,14,3,11
V12,V2,14,3,12
V12,V3,14,3,12
V12,V13,14,3,12
V13,V3,14,3,13
V13,V12,14,3,13
V14,V10,14,3,14
V15,NA,14,3,15
V16,V10,14,3,16
V2,NA,14,3,2
V3,V6,14,3,3
V3,V12,14,3,3
V3,V13,14,3,3
V4,NA,14,3,4
V5,NA,14,3,5
V6,V3,14,3,6
V7,V12,14,3,7
V8,V9,14,3,8
V9,V8,14,3,9
V1,NA,15,5,1
V10,V7,15,5,10
V10,V11,15,5,10
V10,V14,15,5,10
V11,V8,15,5,11
V11,V10,15,5,11
V12,V15,15,5,12
V13,NA,15,5,13
V14,V5,15,5,14
V14,V7,15,5,14
V14,V10,15,5,14
V14,V11,15,5,14
V15,V12,15,5,15
V16,V4,15,5,16
V2,NA,15,5,2
V3,NA,15,5,3
V4,NA,15,5,4
V5,NA,15,5,5
V6,NA,15,5,6
V7,V10,15,5,7
V8,V11,15,5,8
V9,NA,15,5,9
V1,NA,16,7,1
V10,V11,16,7,10
V11,V10,16,7,11
V12,V6,16,7,12
V13,V2,16,7,13
V14,V6,16,7,14
V15,V3,16,7,15
V16,V3,16,7,16
V2,V5,16,7,2
V2,V13,16,7,2
V3,V2,16,7,3
V3,V5,16,7,3
V3,V15,16,7,3
V4,NA,16,7,4
V5,V2,16,7,5
V5,V3,16,7,5
V6,V3,16,7,6
V6,V7,16,7,6
V6,V12,16,7,6
V7,V6,16,7,7
V7,V11,16,7,7
V8,V2,16,7,8
V8,V9,16,7,8
V9,V8,16,7,9
V1,NA,17,9,1
V10,V11,17,9,10
V10,V14,17,9,10
V11,V10,17,9,11
V11,V14,17,9,11
V12,NA,17,9,12
V13,NA,17,9,13
V14,V4,17,9,14
V14,V10,17,9,14
V14,V11,17,9,14
V15,NA,17,9,15
V16,NA,17,9,16
V2,V12,17,9,2
V3,V2,17,9,3
V4,V9,17,9,4
V4,V14,17,9,4
V5,NA,17,9,5
V6,NA,17,9,6
V7,NA,17,9,7
V8,V9,17,9,8
V9,V4,17,9,9
V9,V8,17,9,9
V1,NA,18,11,1
V10,V14,18,11,10
V11,NA,18,11,11
V12,V13,18,11,12
V13,NA,18,11,13
V14,V10,18,11,14
V15,NA,18,11,15
V16,NA,18,11,16
V2,NA,18,11,2
V3,V2,18,11,3
V4,NA,18,11,4
V5,NA,18,11,5
V6,NA,18,11,6
V7,NA,18,11,7
V8,NA,18,11,8
V9,NA,18,11,9
V1,V7,19,1,1
V10,V7,19,1,10
V10,V13,19,1,10
V10,V14,19,1,10
V11,V2,19,1,11
V11,V14,19,1,11
V12,V2,19,1,12
V12,V3,19,1,12
V12,V13,19,1,12
V13,V2,19,1,13
V13,V5,19,1,13
V13,V10,19,1,13
V13,V12,19,1,13
V14,V10,19,1,14
V14,V11,19,1,14
V15,NA,19,1,15
V16,NA,19,1,16
V2,V3,19,1,2
V2,V13,19,1,2
V3,V2,19,1,3
V3,V6,19,1,3
V3,V12,19,1,3
V4,NA,19,1,4
V5,NA,19,1,5
V6,NA,19,1,6
V7,V1,19,1,7
V7,V10,19,1,7
V8,NA,19,1,8
V9,NA,19,1,9
V1,V4,2,2,1
V1,V14,2,2,1
V10,V11,2,2,10
V10,V14,2,2,10
V11,V8,2,2,11
V11,V14,2,2,11
V12,V6,2,2,12
V13,V2,2,2,13
V14,V1,2,2,14
V14,V10,2,2,14
V14,V11,2,2,14
V15,NA,2,2,15
V16,NA,2,2,16
V2,V3,2,2,2
V2,V5,2,2,2
V2,V13,2,2,2
V3,V2,2,2,3
V4,V1,2,2,4
V5,V2,2,2,5
V6,NA,2,2,6
V7,NA,2,2,7
V8,V11,2,2,8
V9,NA,2,2,9
V1,V12,3,6,1
V10,V14,3,6,10
V11,V14,3,6,11
V12,V16,3,6,12
V13,NA,3,6,13
V14,V10,3,6,14
V14,V11,3,6,14
V15,V3,3,6,15
V16,V3,3,6,16
V16,V6,3,6,16
V16,V12,3,6,16
V2,NA,3,6,2
V3,V5,3,6,3
V3,V6,3,6,3
V3,V12,3,6,3
V3,V15,3,6,3
V4,V5,3,6,4
V5,V3,3,6,5
V5,V4,3,6,5
V6,V3,3,6,6
V6,V12,3,6,6
V6,V16,3,6,6
V7,NA,3,6,7
V8,V9,3,6,8
V9,V8,3,6,9
V1,NA,4,10,1
V10,V8,4,10,10
V11,V8,4,10,11
V12,V6,4,10,12
V12,V13,4,10,12
V13,V12,4,10,13
V14,V12,4,10,14
V15,NA,4,10,15
V16,NA,4,10,16
V2,V3,4,10,2
V3,V2,4,10,3
V4,NA,4,10,4
V5,NA,4,10,5
V6,NA,4,10,6
V7,NA,4,10,7
V8,V6,4,10,8
V8,V11,4,10,8
V9,NA,4,10,9
V1,V11,5,20,1
V10,V11,5,20,10
V10,V14,5,20,10
V11,V1,5,20,11
V11,V10,5,20,11
V11,V14,5,20,11
V12,V6,5,20,12
V12,V13,5,20,12
V13,NA,5,20,13
V14,V10,5,20,14
V14,V11,5,20,14
V15,V7,5,20,15
V16,NA,5,20,16
V2,NA,5,20,2
V3,V6,5,20,3
V4,NA,5,20,4
V5,NA,5,20,5
V6,V3,5,20,6
V7,V15,5,20,7
V8,NA,5,20,8
V9,NA,5,20,9
V1,V8,6,19,1
V10,V11,6,19,10
V10,V14,6,19,10
V11,V8,6,19,11
V11,V10,6,19,11
V12,V13,6,19,12
V13,V12,6,19,13
V13,V16,6,19,13
V14,V3,6,19,14
V14,V10,6,19,14
V15,NA,6,19,15
V16,NA,6,19,16
V2,V3,6,19,2
V2,V10,6,19,2
V3,V2,6,19,3
V4,V8,6,19,4
V5,NA,6,19,5
V6,NA,6,19,6
V7,NA,6,19,7
V8,V9,6,19,8
V8,V11,6,19,8
V9,NA,6,19,9
V1,NA,7,12,1
V10,V14,7,12,10
V11,V14,7,12,11
V12,V6,7,12,12
V13,V12,7,12,13
V14,V7,7,12,14
V14,V10,7,12,14
V14,V11,7,12,14
V15,V7,7,12,15
V16,NA,7,12,16
V2,NA,7,12,2
V3,V2,7,12,3
V3,V5,7,12,3
V3,V6,7,12,3
V4,NA,7,12,4
V5,V3,7,12,5
V5,V9,7,12,5
V6,V3,7,12,6
V6,V12,7,12,6
V7,V14,7,12,7
V7,V15,7,12,7
V8,V11,7,12,8
V9,NA,7,12,9
V1,NA,8,4,1
V10,NA,8,4,10
V11,V2,8,4,11
V12,V6,8,4,12
V12,V13,8,4,12
V13,V6,8,4,13
V13,V8,8,4,13
V13,V12,8,4,13
V14,NA,8,4,14
V15,NA,8,4,15
V16,V4,8,4,16
V2,V3,8,4,2
V3,V2,8,4,3
V3,V12,8,4,3
V3,V15,8,4,3
V4,V16,8,4,4
V5,NA,8,4,5
V6,V3,8,4,6
V6,V12,8,4,6
V7,NA,8,4,7
V8,V7,8,4,8
V8,V13,8,4,8
